"measure","scenario","period","climset","strategy","value","value_hist"
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP5","Reduce ET 30%",52.1,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP5","Reduce ET 50%",52.4333,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP3","Add 30KAF",43.5,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP3","Baseline",41.7,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP3","Reduce ET 30%",41.9333,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP3","Reduce ET 50%",42.1,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP5","Add 30KAF",45.8,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP5","Baseline",44.1667,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP5","Reduce ET 30%",44.1,42.8
"Copco1 Mean Spill Days per Year","WD",2070,"CMIP5","Reduce ET 50%",44.3333,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP3","Add 30KAF",66.3333,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP3","Baseline",64.9,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP3","Reduce ET 30%",65.2333,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP3","Reduce ET 50%",65.5,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP5","Add 30KAF",60.2,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP5","Baseline",59,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP5","Reduce ET 30%",59.2333,42.8
"Copco1 Mean Spill Days per Year","WW",2070,"CMIP5","Reduce ET 50%",59.4333,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP3","Add 30KAF",38.8,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP3","Baseline",37.5333,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP3","Reduce ET 30%",37.8,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP3","Reduce ET 50%",38.0667,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP5","Add 30KAF",39.2333,42.8
