"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",213.9333,14.1477273524038,"4"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",213.9333,13.2440344724267,"3"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",213.9333,13.2596000716111,"3"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",213.9333,13.3530871537998,"3"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",213.9333,13.1038038491436,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",213.9333,3.34996935960881,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",213.9333,3.33440376042439,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",213.9333,3.30322581851446,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP3","Add 30KAF",213.9333,3.33440376042439,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP5","Baseline",213.9333,3.97320099301979,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 30%",213.9333,3.92645745192544,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 50%",213.9333,3.89532625355659,"3"
"SalmonTrinityReach Mean Ann Fishing Days","5",2030,"CMIP5","Add 30KAF",213.9333,3.7083520891792,"3"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP3","Baseline",183.9667,-5.63509591681539,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 30%",183.9667,-5.70755468245068,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 50%",183.9667,-5.6531970188083,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP3","Add 30KAF",183.9667,-5.6531970188083,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP5","Baseline",183.9667,-2.64542441648408,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 30%",183.9667,-2.71788318211937,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 50%",183.9667,-2.75413974376884,"2"
"ScottSalmonReach Mean Ann Fishing Days","1",2030,"CMIP5","Add 30KAF",183.9667,-2.75413974376884,"2"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP3","Baseline",183.9667,7.13895503914567,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 30%",183.9667,6.92152438457611,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 50%",183.9667,6.75845139364896,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP3","Add 30KAF",183.9667,6.61347950471471,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP5","Baseline",183.9667,8.64286851913961,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 30%",183.9667,8.87840027570207,"3"
