"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"TrinityOceanReach Mean Ann Boating Days",262.9,"days","Recreation Boating","WD","CMIP5",2030,"Add Flow
20%",252.9333,9.96669999999997
"Mean Percent Full Supply (Apr-Sep)",88.2946,"%","Water Delivery","WD","CMIP5",2030,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1299.3735,"KAF","Water Delivery","WD","CMIP5",2030,"Add Flow
20%",1377.9978,-78.6243000000002
"Mean Annual Shasta Flow",175.7829,"cfs","Water Delivery","WD","CMIP5",2030,"Add Flow
20%",187.6871,-11.9042
"Mean Annual Scott Flow",632.5014,"cfs","Water Delivery","WD","CMIP5",2030,"Add Flow
20%",668.7854,-36.284
"Mean Annual MWAT",78.6869,"degF","Water Quality","WD","CMIP5",2030,"Add Flow
20%",75.7443,2.9426
"Mean exceedence of MWAT - Poor",15.0069,"degF","Water Quality","WD","CMIP5",2030,"Add Flow
20%",12.0643,2.9426
"Frequency Meeting Dry Year Fish Targets Scott",65.3737,"% of Days","Ecological Resources","WD","CMIP5",2030,"Reduce Tribs
4degC",70.5029,-5.1292
"Frequency Meeting Dry Year Fish Targets Shasta",50.7164,"% of Days","Ecological Resources","WD","CMIP5",2030,"Reduce Tribs
4degC",56.8769,-6.1605
"Mean Percent of Annual Refuge Demand",16.9277,"% of Years","Ecological Resources","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",24900.6662,"MW","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",26741.1142,-1840.448
"Boyle Mean Spill Volume per year",175.9983,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",192.9485,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",488.9585,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",144.4667,"days","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",42.6333,"days","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",130.7,"days","Hydropower","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",40.1844,"Percent of Days","Flood Control","WD","CMIP5",2030,"Reduce Tribs
4degC",44.1179,-3.9335
"Mean Ann UKL Flood Control Release Volume",221.3233,"KAF","Flood Control","WD","CMIP5",2030,"Reduce Tribs
4degC",224.4786,-3.15530000000001
"KenoReach Mean Ann Fishing Days",263.3667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",247.6667,15.7
"BoyleReach Mean Ann Fishing Days",166.0333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",154.9,11.1333
"HellsCornerReach Mean Ann Fishing Days",257.5333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",220.4333,37.1
"IGScottReach Mean Ann Fishing Days",277.5333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",274.7333,2.80000000000001
"ScottSalmonReach Mean Ann Fishing Days",199.8667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",183.9667,15.9
"SalmonTrinityReach Mean Ann Fishing Days",233.6667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",213.9333,19.7334
"TrinityOceanReach Mean Ann Fishing Days",262.9,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Tribs
4degC",252.9333,9.96669999999997
"KenoReach Mean Ann Boating Days",168.8,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",171.8,-3
"BoyleReach Mean Ann Boating Days",52.5333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",59,-6.4667
"HellsCornerReach Mean Ann Boating Days",209.3333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",256,-46.6667
"IGScottReach Mean Ann Boating Days",277.5333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",274.7333,2.80000000000001
"ScottSalmonReach Mean Ann Boating Days",255.4667,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",249.2333,6.23339999999999
"SalmonTrinityReach Mean Ann Boating Days",233.6667,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",213.9333,19.7334
"TrinityOceanReach Mean Ann Boating Days",262.9,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Tribs
4degC",252.9333,9.96669999999997
"Mean Percent Full Supply (Apr-Sep)",88.2946,"%","Water Delivery","WD","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1299.3735,"KAF","Water Delivery","WD","CMIP5",2030,"Reduce Tribs
4degC",1377.9978,-78.6243000000002
"Mean Annual Shasta Flow",175.7829,"cfs","Water Delivery","WD","CMIP5",2030,"Reduce Tribs
4degC",187.6871,-11.9042
"Mean Annual Scott Flow",632.5014,"cfs","Water Delivery","WD","CMIP5",2030,"Reduce Tribs
4degC",668.7854,-36.284
"Mean Annual MWAT",76.0126,"degF","Water Quality","WD","CMIP5",2030,"Reduce Tribs
4degC",75.7443,0.268300000000011
"Mean exceedence of MWAT - Poor",12.3326,"degF","Water Quality","WD","CMIP5",2030,"Reduce Tribs
4degC",12.0643,0.2683
"Frequency Meeting Dry Year Fish Targets Scott",65.3737,"% of Days","Ecological Resources","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",70.5029,-5.1292
"Frequency Meeting Dry Year Fish Targets Shasta",50.7164,"% of Days","Ecological Resources","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",56.8769,-6.1605
"Mean Percent of Annual Refuge Demand",16.9277,"% of Years","Ecological Resources","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",24900.6662,"MW","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",26741.1142,-1840.448
"Boyle Mean Spill Volume per year",175.9983,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",192.9485,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",488.9585,"KAF","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",144.4667,"days","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",42.6333,"days","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",130.7,"days","Hydropower","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",40.1844,"Percent of Days","Flood Control","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",44.1179,-3.9335
"Mean Ann UKL Flood Control Release Volume",221.3233,"KAF","Flood Control","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",224.4786,-3.15530000000001
"KenoReach Mean Ann Fishing Days",263.3667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",247.6667,15.7
"BoyleReach Mean Ann Fishing Days",166.0333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",154.9,11.1333
"HellsCornerReach Mean Ann Fishing Days",257.5333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",220.4333,37.1
"IGScottReach Mean Ann Fishing Days",277.5333,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",274.7333,2.80000000000001
"ScottSalmonReach Mean Ann Fishing Days",199.8667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",183.9667,15.9
"SalmonTrinityReach Mean Ann Fishing Days",233.6667,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",213.9333,19.7334
"TrinityOceanReach Mean Ann Fishing Days",262.9,"days","Recreation Fishing","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",252.9333,9.96669999999997
"KenoReach Mean Ann Boating Days",168.8,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",171.8,-3
"BoyleReach Mean Ann Boating Days",52.5333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",59,-6.4667
"HellsCornerReach Mean Ann Boating Days",209.3333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",256,-46.6667
"IGScottReach Mean Ann Boating Days",277.5333,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",274.7333,2.80000000000001
"ScottSalmonReach Mean Ann Boating Days",255.4667,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",249.2333,6.23339999999999
"SalmonTrinityReach Mean Ann Boating Days",233.6667,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",213.9333,19.7334
"TrinityOceanReach Mean Ann Boating Days",262.9,"days","Recreation Boating","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",252.9333,9.96669999999997
"Mean Percent Full Supply (Apr-Sep)",88.2946,"%","Water Delivery","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1299.3735,"KAF","Water Delivery","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",1377.9978,-78.6243000000002
"Mean Annual Shasta Flow",175.7829,"cfs","Water Delivery","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",187.6871,-11.9042
"Mean Annual Scott Flow",632.5014,"cfs","Water Delivery","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",668.7854,-36.284
"Mean Annual MWAT",76.4651,"degF","Water Quality","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",75.7443,0.720800000000011
"Mean exceedence of MWAT - Poor",12.7851,"degF","Water Quality","WD","CMIP5",2030,"Reduce Dam
Outflow
4degC",12.0643,0.720800000000001
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Baseline",70.5029,-3.66889999999999
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Baseline",56.8769,-3.2947
"Mean Annual Water Delivery to LKNWR",15.9465,"KAF","Ecological Resources","WD","CMIP5",2070,"Baseline",24.6143,-8.6678
"Mean Annual Hydropower Generated (MW)",24451.3807,"MW","Hydropower","WD","CMIP5",2070,"Baseline",26741.1142,-2289.7335
"Boyle Mean Spill Volume per Year",218.8711,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",163.0602,55.8109
"Copco1 Mean Spill Volume per Year",233.6029,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",186.3791,47.2238
"Iron Gate Mean Spill Volume per Year",517.6026,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",533.8601,-16.2574999999999
"Boyle Mean Spill Days per Year",167.4,"days","Hydropower","WD","CMIP5",2070,"Baseline",105.9,61.5
"Copco1 Mean Spill Days per Year",44.1667,"days","Hydropower","WD","CMIP5",2070,"Baseline",42.8,1.3667
"Iron Gate Mean Spill Days per Year",123.1,"days","Hydropower","WD","CMIP5",2070,"Baseline",170.3333,-47.2333
"Freq of UKL Flood Control Release",40.7046,"Percent of Days","Flood Control","WD","CMIP5",2070,"Baseline",44.1179,-3.4133
"Mean Ann UKL Flood Control Release Volume",253.5896,"KAF","Flood Control","WD","CMIP5",2070,"Baseline",224.4786,29.111
"KenoReach Mean Ann Fishing Days",257.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",247.6667,9.76659999999998
"BoyleReach Mean Ann Fishing Days",176,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",154.9,21.1
"HellsCornerReach Mean Ann Fishing Days",266.0333,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",220.4333,45.6
"IGScottReach Mean Ann Fishing Days",284.2667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Fishing Days",200.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",183.9667,16.6
"SalmonTrinityReach Mean Ann Fishing Days",238.1,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",213.9333,24.1667
"TrinityOceanReach Mean Ann Fishing Days",265.7667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",252.9333,12.8334
"KenoReach Mean Ann Boating Days",159.2,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",171.8,-12.6
"BoyleReach Mean Ann Boating Days",51.4,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",59,-7.6
"HellsCornerReach Mean Ann Boating Days",188.5333,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",256,-67.4667
"IGScottReach Mean Ann Boating Days",284.2667,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Boating Days",255.2,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",249.2333,5.96669999999997
"SalmonTrinityReach Mean Ann Boating Days",238.1,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",213.9333,24.1667
"TrinityOceanReach Mean Ann Boating Days",265.7667,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",252.9333,12.8334
"Mean Project Supply (Apr-Sep)",348.7321,"KAF","Water Delivery","WD","CMIP5",2070,"Baseline",361.3104,-12.5783
"Mean Annual UKL Stg and Inflow",1311.9542,"KAF","Water Delivery","WD","CMIP5",2070,"Baseline",1377.9978,-66.0436000000002
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Baseline",187.6871,-10.6376
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Baseline",668.7854,-50.1192
"Mean Annual MWAT",79.8414,"degF","Water Quality","WD","CMIP5",2070,"Baseline",75.7443,4.0971
"Mean exceedence of MWAT - Poor",16.1614,"degF","Water Quality","WD","CMIP5",2070,"Baseline",12.0643,4.0971
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add Flow
10%",70.5029,-3.66889999999999
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add Flow
10%",56.8769,-3.2947
"Mean Percent of Annual Refuge Demand",16.7154,"% of Years","Ecological Resources","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",24451.3807,"MW","Hydropower","WD","CMIP5",2070,"Add Flow
10%",26741.1142,-2289.7335
"Boyle Mean Spill Volume per year",218.8711,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",233.6029,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",517.6026,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",167.4,"days","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",44.1667,"days","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",123.1,"days","Hydropower","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",40.7046,"Percent of Days","Flood Control","WD","CMIP5",2070,"Add Flow
10%",44.1179,-3.4133
"Mean Ann UKL Flood Control Release Volume",253.5896,"KAF","Flood Control","WD","CMIP5",2070,"Add Flow
10%",224.4786,29.111
"KenoReach Mean Ann Fishing Days",257.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",247.6667,9.76659999999998
"BoyleReach Mean Ann Fishing Days",176,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",154.9,21.1
"HellsCornerReach Mean Ann Fishing Days",266.0333,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",220.4333,45.6
"IGScottReach Mean Ann Fishing Days",284.2667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Fishing Days",200.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",183.9667,16.6
"SalmonTrinityReach Mean Ann Fishing Days",238.1,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",213.9333,24.1667
"TrinityOceanReach Mean Ann Fishing Days",265.7667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
10%",252.9333,12.8334
"KenoReach Mean Ann Boating Days",159.2,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",171.8,-12.6
"BoyleReach Mean Ann Boating Days",51.4,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",59,-7.6
"HellsCornerReach Mean Ann Boating Days",188.5333,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",256,-67.4667
"IGScottReach Mean Ann Boating Days",284.2667,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Boating Days",255.2,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",249.2333,5.96669999999997
"SalmonTrinityReach Mean Ann Boating Days",238.1,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",213.9333,24.1667
"TrinityOceanReach Mean Ann Boating Days",265.7667,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
10%",252.9333,12.8334
"Mean Percent Full Supply (Apr-Sep)",89.4185,"%","Water Delivery","WD","CMIP5",2070,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1311.9542,"KAF","Water Delivery","WD","CMIP5",2070,"Add Flow
10%",1377.9978,-66.0436000000002
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Add Flow
10%",187.6871,-10.6376
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Add Flow
10%",668.7854,-50.1192
"Mean Annual MWAT",79.4034,"degF","Water Quality","WD","CMIP5",2070,"Add Flow
10%",75.7443,3.65910000000001
"Mean exceedence of MWAT - Poor",15.7234,"degF","Water Quality","WD","CMIP5",2070,"Add Flow
10%",12.0643,3.6591
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add Flow
20%",70.5029,-3.66889999999999
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add Flow
20%",56.8769,-3.2947
"Mean Percent of Annual Refuge Demand",16.7154,"% of Years","Ecological Resources","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",24451.3807,"MW","Hydropower","WD","CMIP5",2070,"Add Flow
20%",26741.1142,-2289.7335
"Boyle Mean Spill Volume per year",218.8711,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",233.6029,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",517.6026,"KAF","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",167.4,"days","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",44.1667,"days","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",123.1,"days","Hydropower","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",40.7046,"Percent of Days","Flood Control","WD","CMIP5",2070,"Add Flow
20%",44.1179,-3.4133
"Mean Ann UKL Flood Control Release Volume",253.5896,"KAF","Flood Control","WD","CMIP5",2070,"Add Flow
20%",224.4786,29.111
"KenoReach Mean Ann Fishing Days",257.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",247.6667,9.76659999999998
"BoyleReach Mean Ann Fishing Days",176,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",154.9,21.1
"HellsCornerReach Mean Ann Fishing Days",266.0333,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",220.4333,45.6
"IGScottReach Mean Ann Fishing Days",284.2667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Fishing Days",200.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",183.9667,16.6
"SalmonTrinityReach Mean Ann Fishing Days",238.1,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",213.9333,24.1667
"TrinityOceanReach Mean Ann Fishing Days",265.7667,"days","Recreation Fishing","WD","CMIP5",2070,"Add Flow
20%",252.9333,12.8334
"KenoReach Mean Ann Boating Days",159.2,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",171.8,-12.6
"BoyleReach Mean Ann Boating Days",51.4,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",59,-7.6
"HellsCornerReach Mean Ann Boating Days",188.5333,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",256,-67.4667
"IGScottReach Mean Ann Boating Days",284.2667,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Boating Days",255.2,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",249.2333,5.96669999999997
"SalmonTrinityReach Mean Ann Boating Days",238.1,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",213.9333,24.1667
"TrinityOceanReach Mean Ann Boating Days",265.7667,"days","Recreation Boating","WD","CMIP5",2070,"Add Flow
20%",252.9333,12.8334
"Mean Percent Full Supply (Apr-Sep)",89.4185,"%","Water Delivery","WD","CMIP5",2070,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1311.9542,"KAF","Water Delivery","WD","CMIP5",2070,"Add Flow
20%",1377.9978,-66.0436000000002
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Add Flow
20%",187.6871,-10.6376
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Add Flow
20%",668.7854,-50.1192
"Mean Annual MWAT",79.0503,"degF","Water Quality","WD","CMIP5",2070,"Add Flow
20%",75.7443,3.306
"Mean exceedence of MWAT - Poor",15.3703,"degF","Water Quality","WD","CMIP5",2070,"Add Flow
20%",12.0643,3.306
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce Tribs
4degC",70.5029,-3.66889999999999
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce Tribs
4degC",56.8769,-3.2947
"Mean Percent of Annual Refuge Demand",16.7154,"% of Years","Ecological Resources","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",24451.3807,"MW","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",26741.1142,-2289.7335
"Boyle Mean Spill Volume per year",218.8711,"KAF","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",233.6029,"KAF","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",517.6026,"KAF","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",167.4,"days","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",44.1667,"days","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",123.1,"days","Hydropower","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",40.7046,"Percent of Days","Flood Control","WD","CMIP5",2070,"Reduce Tribs
4degC",44.1179,-3.4133
"Mean Ann UKL Flood Control Release Volume",253.5896,"KAF","Flood Control","WD","CMIP5",2070,"Reduce Tribs
4degC",224.4786,29.111
"KenoReach Mean Ann Fishing Days",257.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",247.6667,9.76659999999998
"BoyleReach Mean Ann Fishing Days",176,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",154.9,21.1
"HellsCornerReach Mean Ann Fishing Days",266.0333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",220.4333,45.6
"IGScottReach Mean Ann Fishing Days",284.2667,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Fishing Days",200.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",183.9667,16.6
"SalmonTrinityReach Mean Ann Fishing Days",238.1,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",213.9333,24.1667
"TrinityOceanReach Mean Ann Fishing Days",265.7667,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce Tribs
4degC",252.9333,12.8334
"KenoReach Mean Ann Boating Days",159.2,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",171.8,-12.6
"BoyleReach Mean Ann Boating Days",51.4,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",59,-7.6
"HellsCornerReach Mean Ann Boating Days",188.5333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",256,-67.4667
"IGScottReach Mean Ann Boating Days",284.2667,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",274.7333,9.53340000000003
"ScottSalmonReach Mean Ann Boating Days",255.2,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",249.2333,5.96669999999997
"SalmonTrinityReach Mean Ann Boating Days",238.1,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",213.9333,24.1667
"TrinityOceanReach Mean Ann Boating Days",265.7667,"days","Recreation Boating","WD","CMIP5",2070,"Reduce Tribs
4degC",252.9333,12.8334
"Mean Percent Full Supply (Apr-Sep)",89.4185,"%","Water Delivery","WD","CMIP5",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1311.9542,"KAF","Water Delivery","WD","CMIP5",2070,"Reduce Tribs
4degC",1377.9978,-66.0436000000002
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce Tribs
4degC",187.6871,-10.6376
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce Tribs
4degC",668.7854,-50.1192
"Mean Annual MWAT",76.3829,"degF","Water Quality","WD","CMIP5",2070,"Reduce Tribs
4degC",75.7443,0.638600000000011
"Mean exceedence of MWAT - Poor",12.7029,"degF","Water Quality","WD","CMIP5",2070,"Reduce Tribs
4degC",12.0643,0.6386
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce Dam
Outflow
4degC",70.5029,-3.66889999999999
