"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"HellsCornerReach Mean Ann Fishing Days",243.3,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",220.4333,22.8667
"IGScottReach Mean Ann Fishing Days",271.6,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",274.7333,-3.13329999999996
"ScottSalmonReach Mean Ann Fishing Days",192.2,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",183.9667,8.23329999999999
"SalmonTrinityReach Mean Ann Fishing Days",224,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",213.9333,10.0667
"TrinityOceanReach Mean Ann Fishing Days",252.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",252.9333,-0.300000000000011
"KenoReach Mean Ann Boating Days",176.8333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",171.8,5.0333
"BoyleReach Mean Ann Boating Days",51.3667,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",59,-7.6333
"HellsCornerReach Mean Ann Boating Days",178.6,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",256,-77.4
"IGScottReach Mean Ann Boating Days",271.6,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",274.7333,-3.13329999999996
"ScottSalmonReach Mean Ann Boating Days",243.3333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",249.2333,-5.90000000000001
"SalmonTrinityReach Mean Ann Boating Days",224,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",213.9333,10.0667
"TrinityOceanReach Mean Ann Boating Days",252.6333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",252.9333,-0.300000000000011
"Mean Project Supply (Apr-Sep)",361.2039,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",361.3104,-0.10650000000004
"Mean Annual UKL Stg and Inflow",1405.271,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",1377.9978,27.2731999999999
"Mean Annual Shasta Flow",197.3168,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",187.6871,9.62970000000001
"Mean Annual Scott Flow",757.5572,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",668.7854,88.7718
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Reduce ET 30%",75.7443,5.45310000000001
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Reduce ET 30%",12.0643,5.4531
"Frequency Meeting Dry Year Fish Targets Scott",67.9201,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",70.5029,-2.58279999999999
"Frequency Meeting Dry Year Fish Targets Shasta",55.5444,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",56.8769,-1.3325
"Mean Annual Water Delivery to LKNWR",15.5701,"KAF","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",24.6143,-9.0442
"Mean Annual Hydropower Generated (MW)",26156.2689,"MW","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",26741.1142,-584.845300000001
"Boyle Mean Spill Volume per Year",382.5295,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",163.0602,219.4693
"Copco1 Mean Spill Volume per Year",423.781,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",186.3791,237.4019
"Iron Gate Mean Spill Volume per Year",763.6611,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",533.8601,229.801
"Boyle Mean Spill Days per Year",206.6667,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",105.9,100.7667
"Copco1 Mean Spill Days per Year",55.0667,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",42.8,12.2667
