"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP5","Baseline",533.8601,-5.24045531778831,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 30%",533.8601,-3.82690146725706,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 50%",533.8601,-3.17912876425864,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP5","Add 30KAF",533.8601,-2.31534441326481,"2"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP3","Baseline",533.8601,41.2749332643515,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 30%",533.8601,42.3123960753014,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 50%",533.8601,43.0451723213628,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP3","Add 30KAF",533.8601,45.0661699572603,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP5","Baseline",533.8601,28.8470144144505,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 30%",533.8601,29.8622616674293,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 50%",533.8601,30.6580881395706,"3"
"Iron Gate Mean Spill Volume per Year","5",2070,"CMIP5","Add 30KAF",533.8601,32.5018483306769,"3"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP3","Baseline",26741.1142,4.06593529300286,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP3","Reduce ET 30%",26741.1142,4.41319831018859,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP3","Reduce ET 50%",26741.1142,4.67577226082823,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP3","Add 30KAF",26741.1142,5.44438234364969,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP5","Baseline",26741.1142,2.36890166678246,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP5","Reduce ET 30%",26741.1142,2.59165865272735,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP5","Reduce ET 50%",26741.1142,2.72187947950202,"2"
"Mean Annual Hydropower Generated (MW)","1",2070,"CMIP5","Add 30KAF",26741.1142,4.00599687802089,"2"
"Mean Annual Hydropower Generated (MW)","2",2070,"CMIP3","Baseline",26741.1142,-9.75178925042696,"3"
