"measure","scenario","period","climset","strategy","value","value_hist"
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP3","Reduce ET 50%",271.5667,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP5","Add 30KAF",276.0667,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP5","Baseline",276.7333,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 30%",276.2667,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 50%",275.7333,274.7333
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP3","Add 30KAF",183.2,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP3","Baseline",177.7333,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 30%",178.9667,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 50%",180.1667,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP5","Add 30KAF",173.0667,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP5","Baseline",168.8,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 30%",170.4667,171.8
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 50%",171.5333,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP3","Add 30KAF",208.0333,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP3","Baseline",205.2333,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 30%",205.3667,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 50%",205.1667,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP5","Add 30KAF",193.5667,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP5","Baseline",190.3333,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 30%",190.3,171.8
"KenoReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 50%",189.8333,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP3","Add 30KAF",155.4667,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP3","Baseline",150.7667,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 30%",152.6333,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 50%",153.3,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP5","Add 30KAF",154.5333,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP5","Baseline",152.0333,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 30%",153.0333,171.8
"KenoReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 50%",153.9,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP3","Add 30KAF",181.5,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP3","Baseline",180.6,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 30%",180.9667,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 50%",181.9667,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP5","Add 30KAF",190.6333,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP5","Baseline",188.7667,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 30%",189.1333,171.8
"KenoReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 50%",190.2,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP3","Add 30KAF",183,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP3","Baseline",177.2333,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 30%",179.6,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 50%",180.4333,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP5","Add 30KAF",189.1,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP5","Baseline",183.4667,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 30%",185.1667,171.8
"KenoReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 50%",185.8667,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP3","Add 30KAF",163.9667,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP3","Baseline",161.0667,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP3","Reduce ET 30%",162.3,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP3","Reduce ET 50%",163.5667,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP5","Add 30KAF",162.2667,171.8
"KenoReach Mean Ann Boating Days","WD",2070,"CMIP5","Baseline",159.2,171.8
