"","scen","Accretion","Wyear","Flow"
"439","Historical","I15",2019,430.589348425883
"440","Historical","I15",2020,313.52786168954
"441","Historical","I91",1981,104.430040988843
"442","Historical","I91",1982,348.921064535845
"443","Historical","I91",1983,390.595011585305
"444","Historical","I91",1984,385.495915069818
"445","Historical","I91",1985,233.157798412243
"446","Historical","I91",1986,243.417785773729
"447","Historical","I91",1987,126.456968621262
"448","Historical","I91",1988,116.708748817085
"449","Historical","I91",1989,184.016768476921
"450","Historical","I91",1990,128.165585256448
"451","Historical","I91",1991,61.7988818713289
"452","Historical","I91",1992,31.6366857172768
"453","Historical","I91",1993,154.981335745931
"454","Historical","I91",1994,54.3497553446067
"455","Historical","I91",1995,179.573260218722
"456","Historical","I91",1996,293.147979023667
"457","Historical","I91",1997,249.148626856498
"458","Historical","I91",1998,441.245756946866
"459","Historical","I91",1999,469.710729960531
"460","Historical","I91",2000,249.832980008568
"461","Historical","I91",2001,87.4281313991112
"462","Historical","I91",2002,138.355128439765
"463","Historical","I91",2003,148.682797462628
"464","Historical","I91",2004,164.263645016743
"465","Historical","I91",2005,139.352397001288
"466","Historical","I91",2006,385.748175875631
"467","Historical","I91",2007,154.524139217034
"468","Historical","I91",2008,137.474327133276
"469","Historical","I91",2009,88.856352580018
"470","Historical","I91",2010,62.0861836175848
"471","Historical","I91",2011,131.788626027743
"472","Historical","I91",2012,96.1787203444813
"473","Historical","I91",2013,96.331723016254
"474","Historical","I91",2014,45.7831907759564
"475","Historical","I91",2015,50.8648404128581
"476","Historical","I91",2016,97.2063237556838
"477","Historical","I91",2017,182.139638317489
"478","Historical","I91",2018,115.434526625482
"479","Historical","I91",2019,185.737816437666
"480","Historical","I91",2020,79.717780982725
